id|Description|Heading|IsMultiple|FormType|jsonfile
1|Inspection Details for QC DAG|INSPECTION DETAILS FOR QC DAG|Single|Section0|crankdet
2|INSPECTION OF CRANKCASE UPPER AND LOWER FITS|INSPECTION OF CRANKCASE UPPER AND LOWER FITS|Multiple|AsIs|crankinsp
3|INSPECTION OF CRANKCASE RECOMMENDATION|RECOMMENDATION|Single|Section0|crankrec
4|Onsite Inspection Data Sheet|JOB DETAILS|Single|Section0|jobdet
5|Onsite Inspection Data Sheet -Observations|Observations|AddRow|AsIs|observations
6|Motor Details|Motor Details|Single|Section0|motordet
7|Open Inspection|Open Inspection|Single|Section1|openins
8|Overhaul Assembly Inspection|Overhaul Assembly Inspection|Single|Section2|overhaulins
9|Testing/Trials|Testing/trials|Multiple|AsIs|testing
10|Inspection of Painting Jobs|INSPECTION OF PAINTING JOBS|Single|Single|painting
11|Pump Measurement|Pump Measurement|Multiple|AsIs|mdpump
12|Pump Physical Inspection|Pump Physical Inspection|Multiple|AsIs|mdpump1
13|Pump - other tests and remarks|Pump - Other tests and remarks|Single|Section0|mdpump2
14|Aft Gland Clearances|Aft Gland Clearances|Multiple|AsIs|aftgland
16|IIR Performa - heading|Inspection Details|Single|Horizontal2Col|iirhead
17|Final Remarks/Conclusion|Final Remarks|Single|Horizontal|finremark
18|ICCP - Pre-Post Docking Checks|Step 1- Ship Details|Single|Horizontal2Col|iccp1
19|ICCP - Pre-Post Docking Checks Step2|Step 2 Anode/RE Locations|Single|Vertical|iccp2
20|ICCP Pre-post docking - ACU Off hull potential|Step 3a - ACU off hull potentials with external reference electrode|Multiple|Vertical|iccp3
21|ICCP Pre-post docking - ACU ON hull potential|Step 3b - ACU ON hull potentials with external reference electrode|Multiple|Vertical|iccp4
22|ICCP - Pre-Post Docking Checks Step4|ICCP reference electrode potential (ACU off position)|Single|Horizontal|iccp5
23|ICCP - Pre-Post Docking Checks Step5|ICCP anode voltages w.r.t. hull (in V) ACU off position)|Single|Horizontal|iccp6
24|ICCP - Pre-Post Docking Checks Step6|Step6 - Manual Operational Checks|Multiple|Vertical|iccp7
25|ICCP - Pre-Post Docking Checks Step7|Step7a- Auto Operational Checks : RE1|AddRow|Vertical|iccp8
26|ICCP - Pre-Post Docking Checks Step7b|Step7b- Auto Operational Checks : RE2|AddRow|Vertical|iccp9
27|ICCP - Pre-Post Docking Checks Step8|Step8 - Continuity of fuses|Single|Horizontal|iccp10
28|ICCP - Pre-Post Docking Checks Step 9|Final Remarks and Conclusion|Single|Horizontal|iccp11
29|Dummy load check of ACU Panel of ICCP system|Step1  - Ship Details|Single|Horizontal2Col|acupanel1
30|Dummy load check of ACU Panel of ICCP system- Step2|Step2  - Auto mode|AddRow|Vertical|acupanel2
31|Dummy load check of ACU Panel of ICCP system- Step2b|Step2b  - Manual mode|AddRow|Vertical|acupanel3
32|Inspection Note for offloaded jobs|JOB DETAILS - INote|Single|Horizontal2Col|inotejob
33|Inspection Note for offloaded jobs- Details|Inote - Details|AddRow|Vertical|inotedet
34|Inspection data sheet for Generator/Amplidyne/Convertor|Generator - Ship Details|Single|Horizontal2Col|genamp1
35|Inspection data sheet for Generator/Amplidyne/Convertor - Step2 Motor|Step2 - Motor Tally Plate Details|Single|Horizontal|genamp2
36|Inspection data sheet for Generator/Amplidyne/Convertor - Step2 Generator|Step2 - Generator/Convertor/Amplidyne Tally Plate Details|Single|Horizontal|genamp3
37|Inspection data sheet for Generator/Amplidyne/Convertor - Step3 - Motor|Stage 1 -  Open for Motor/Generator/Convertor/Amplidyne|Single|Horizontal|genamp4
38|Inspection data sheet for Generator/Amplidyne/Convertor - Stage 2|Stage 2 - Motor/Generator/Convertor/Amplidyne|Single|Horizontal|genamp5
39|Inspection data sheet for Generator/Amplidyne/Convertor - Stage 2|Stage 3 - Motor/Generator/Convertor/Amplidyne|Single|Horizontal|genamp6
40|Inspection data sheet for Generator/Amplidyne/Convertor - Stage 3b|Stage 3b - Motor/Generator/Convertor/Amplidyne|AddRow|Vertical|genamp7
41|Inspection data sheet for Generator/Amplidyne/Convertor - Stage 4|Stage 4- Motor/Generator/Convertor/Amplidyne|Single|Horizontal|genamp8
42|Inspection data sheet for Generator/Amplidyne/Convertor - Final|Stage 5- Motor/Generator/Convertor/Amplidyne|Single|Horizontal|genamp9
43|Steel Renewal|Steel Renewal|Single|Horizontal|steelren
44|Staging|Staging|Single|Horizontal|staging
45|Diessel Transfer and Lightening pump|Diesel Transfer - Inspection Details|Single|Horizontal|dtrandet
46|Diesel Transfer - Mesaurements|Diesel Transfer - Measurements|Multiple|Vertical|dtranmeas
